loss,mean_reward,reward,step,time
-0.039550766348838806,42.125,24.552547454833984,1474560,1845.728551
-0.06642220914363861,44.4375,25.878433227539062,1490944,1865.865326
-0.09728395938873291,46.1875,26.85930061340332,1507328,1886.233828
-0.10558692365884781,44.5,25.798322677612305,1523712,1906.510426
-0.13444466888904572,43.25,25.017166137695312,1540096,1926.688318
-0.09455761313438416,42.4375,24.529863357543945,1556480,1947.034563
-0.1780487596988678,50.4375,29.10927391052246,1572864,1967.237581
-0.08682547509670258,45.8125,26.34178352355957,1589248,1987.355845
-0.07828628271818161,44.125,25.338768005371094,1605632,2007.624589
-0.03556901589035988,44.375,25.42758560180664,1622016,2027.850303
-0.02870706282556057,40.5625,23.220544815063477,1638400,2048.052638
-0.167513906955719,43.25,24.755922317504883,1654784,2068.282995
